,Rank,Released,Movie,DomesticBox Office,InternationalBox Office,WorldwideBox Office
133,134,2011,Pirates of the Caribbean: On Stranger Tides,"$241,063,875","$804,600,000","$1,045,663,875"
134,135,2010,Shrek Forever After,"$238,736,787","$517,507,886","$756,244,673"
135,136,2013,Fast and Furious 6,"$238,679,850","$550,620,594","$789,300,444"
136,137,2012,Brave,"$237,282,182","$317,324,350","$554,606,532"
137,138,2013,Oz the Great and Powerful,"$234,770,996","$255,588,055","$490,359,051"
138,139,1984,Beverly Hills Cop,"$234,760,478","$81,539,522","$316,300,000"
139,140,2006,X-Men: The Last Stand,"$234,362,462","$224,898,484","$459,260,946"
140,141,2005,War of the Worlds,"$234,280,354","$372,556,181","$606,836,535"
141,142,2016,Fantastic Beasts and Where to Find Them,"$234,037,575","$568,365,278","$802,402,853"
142,143,2014,X-Men: Days of Future Past,"$233,921,534","$513,941,241","$747,862,775"
143,144,2000,Cast Away,"$233,632,142","$193,598,374","$427,230,516"
144,145,2016,Doctor Strange,"$232,641,920","$443,762,646","$676,404,566"
145,146,1973,The Exorcist,"$230,347,346","$197,867,132","$428,214,478"
146,147,1997,The Lost World: Jurassic Park,"$229,086,679","$389,552,320","$618,638,999"
147,148,2017,Justice League,"$229,024,295","$426,920,914","$655,945,209"
148,149,2013,Star Trek Into Darkness,"$228,778,661","$238,602,923","$467,381,584"
149,150,2015,The Martian,"$228,433,663","$426,837,780","$655,271,443"
150,151,2002,Signs,"$227,969,295","$180,300,000","$408,269,295"
151,152,2008,Hancock,"$227,946,274","$396,287,998","$624,234,272"
152,153,2007,The Bourne Ultimatum,"$227,471,070","$216,572,326","$444,043,396"
153,154,2017,Logan,"$226,277,068","$389,184,326","$615,461,394"
154,155,2001,Rush Hour 2,"$226,164,286","$121,261,546","$347,425,832"
155,156,2017,The Fate of the Furious,"$225,764,765","$1,009,081,502","$1,234,846,267"
156,157,1981,Raiders of the Lost Ark,"$225,686,079","$141,766,000","$367,452,079"
157,158,2008,WALL-E,"$223,808,164","$308,699,861","$532,508,025"
158,159,2014,Big Hero 6,"$222,527,828","$429,600,000","$652,127,828"
159,160,2018,Mission: Impossible - Fallout,"$220,159,104","$567,297,448","$787,456,552"
160,161,2007,National Treasure: Book of Secrets,"$219,961,501","$237,364,303","$457,325,804"
161,162,2009,Alvin and the Chipmunks: The Squeakquel,"$219,614,612","$223,868,601","$443,483,213"
162,163,1993,Mrs. Doubtfire,"$219,195,051","$222,090,952","$441,286,003"
163,164,2012,Ted,"$218,665,740","$337,350,887","$556,016,627"
164,165,2005,King Kong,"$218,080,025","$332,437,332","$550,517,357"
165,166,1990,Ghost,"$217,631,306","$299,968,694","$517,600,000"
166,167,2010,How to Train Your Dragon,"$217,581,232","$277,289,760","$494,870,992"
167,168,2006,The Da Vinci Code,"$217,536,138","$550,284,321","$767,820,459"
168,169,1992,Aladdin,"$217,350,219","$286,700,000","$504,050,219"
169,170,2007,Alvin and the Chipmunks,"$217,326,974","$145,278,059","$362,605,033"
170,171,2018,Ant-Man and the Wasp,"$216,648,740","$406,495,920","$623,144,660"
171,172,2012,Madagascar 3: Europe's Most Wanted,"$216,391,482","$530,529,789","$746,921,271"
172,173,1998,Saving Private Ryan,"$216,335,085","$268,700,000","$485,035,085"
173,174,2018,Bohemian Rhapsody,"$216,303,339","$684,782,603","$901,085,942"
174,175,2008,Kung Fu Panda,"$215,434,591","$416,475,940","$631,910,531"
175,176,2000,Mission: Impossible 2,"$215,409,889","$334,178,627","$549,588,516"
176,177,2018,A Star is Born,"$215,288,866","$218,191,366","$433,480,232"
177,178,2003,X-Men 2,"$214,949,694","$191,925,842","$406,875,536"
178,179,2012,Doctor Seuss' The Lorax,"$214,030,500","$136,946,253","$350,976,753"
179,180,2018,Solo: A Star Wars Story,"$213,767,512","$179,383,835","$393,151,347"
180,181,2018,Venom,"$213,511,408","$640,117,197","$853,628,605"
181,182,2002,Austin Powers in Goldmember,"$213,117,789","$83,220,874","$296,338,663"
182,183,1985,Back to the Future,"$212,259,762","$173,265,022","$385,524,784"
183,184,2007,300,"$210,614,939","$243,546,996","$454,161,935"
184,185,2011,Fast Five,"$210,031,325","$420,132,129","$630,163,454"
185,186,2017,Coco,"$209,726,015","$588,294,210","$798,020,225"
186,187,2011,Mission: Impossible - Ghost Protocol,"$209,397,903","$485,315,327","$694,713,230"
187,188,2005,Wedding Crashers,"$209,218,368","$74,000,000","$283,218,368"
188,189,2009,Sherlock Holmes,"$209,028,679","$289,409,533","$498,438,212"
189,190,2014,Dawn of the Planet of the Apes,"$208,545,589","$502,098,977","$710,644,566"
190,191,2005,Charlie and the Chocolate Factory,"$206,459,076","$269,366,408","$475,825,484"
191,192,2007,Ratatouille,"$206,445,654","$420,104,041","$626,549,695"
192,193,2013,Thor: The Dark World,"$206,362,140","$438,240,376","$644,602,516"
193,194,1999,Austin Powers: The Spy Who Shagged Me,"$206,040,085","$106,343,402","$312,383,487"
194,195,2005,Batman Begins,"$205,343,774","$153,798,948","$359,142,722"
195,196,1991,Terminator 2: Judgment Day,"$203,464,105","$311,955,722","$515,419,827"
196,197,2014,The Amazing Spider-Man 2,"$202,853,933","$506,142,403","$708,996,336"
197,198,2013,World War Z,"$202,359,711","$329,154,939","$531,514,650"
198,199,2001,The Mummy Returns,"$202,007,640","$233,032,755","$435,040,395"
199,200,1998,Armageddon,"$201,578,182","$353,021,818","$554,600,000"
200,201,2015,Cinderella,"$201,151,353","$333,400,000","$534,551,353"
201,202,2018,Ralph Breaks The Internet,"$201,091,711","$323,196,956","$524,288,667"
202,203,2010,Tangled,"$200,821,936","$385,655,304","$586,477,240"
203,204,2014,Godzilla,"$200,676,069","$328,400,000","$529,076,069"
204,205,2006,Superman Returns,"$200,120,000","$173,965,065","$374,085,065"
205,206,2015,Spectre,"$200,074,175","$679,546,748","$879,620,923"
206,207,1939,Gone with the Wind,"$198,680,470","$191,844,722","$390,525,192"
207,208,2001,Pearl Harbor,"$198,539,855","$250,700,000","$449,239,855"
208,209,2009,Monsters vs. Aliens,"$198,351,526","$183,335,854","$381,687,380"
209,210,2006,Happy Feet,"$198,000,317","$187,000,000","$385,000,317"
210,211,1989,Indiana Jones and the Last Crusade,"$197,171,806","$277,000,000","$474,171,806"
211,212,2009,Ice Age: Dawn of the Dinosaurs,"$196,573,705","$663,128,152","$859,701,857"
212,213,2006,Ice Age: The Meltdown,"$195,330,621","$456,568,661","$651,899,282"
213,214,2015,Mission: Impossible - Rogue Nation,"$195,042,377","$493,816,615","$688,858,992"
214,215,2005,Madagascar,"$193,595,521","$362,964,045","$556,559,566"
215,216,2008,Twilight,"$192,769,854","$209,510,305","$402,280,159"
216,217,1995,Toy Story,"$191,796,233","$172,749,283","$364,545,516"
217,218,2014,22 Jump Street,"$191,719,337","$139,614,539","$331,333,876"
218,219,2011,Cars 2,"$191,450,875","$368,704,508","$560,155,383"
219,220,2014,Teenage Mutant Ninja Turtles,"$191,204,754","$293,800,000","$485,004,754"
220,221,2002,Men in Black 2,"$190,418,803","$251,349,000","$441,767,803"
221,222,2018,Spider-Man: Into The Spider-Verse 3D,"$190,173,195","$184,681,723","$374,854,918"
222,223,2017,Dunkirk,"$190,068,280","$309,769,088","$499,837,368"
223,224,2012,Wreck-It Ralph,"$189,412,677","$307,098,844","$496,511,521"
224,225,2018,A Quiet Place,"$188,024,361","$146,497,933","$334,522,294"
225,226,2014,Interstellar,"$188,017,894","$478,361,481","$666,379,375"
226,227,2000,Gladiator,"$187,683,805","$270,000,000","$457,683,805"
